relative_time,AccX,AccY,AccZ
106891,-5.14875602722168,-0.3125624656677246,15.814165115356445
106955,-2.7379872798919678,0.3442673683166504,10.648958206176758
107023,-1.7338991165161133,0.5159524083137512,7.050152778625488
107090,,0.5500500798225403,6.847361087799072
107091,-1.5233306884765625,,
107158,-1.7473586797714233,0.3852444589138031,8.64496898651123
107225,,,9.747760772705078
107226,-2.0243279933929443,1.4174482822418213,
107291,-2.4900310039520264,1.3007981777191162,13.468301773071289
107360,-2.9673991203308105,1.0172487497329712,16.64806365966797
107427,-2.367398977279663,0.39451664686203003,13.011272430419922
107493,-2.7355945110321045,0.32273194193840027,10.09442138671875
107562,-1.8909281492233276,-0.49232324957847595,7.837092399597168
107628,,,5.5983076095581055
107629,-0.8533403873443604,-0.34606197476387024,
107697,-0.47288158535957336,0.8123632669448853,3.620041608810425
107764,-1.5053845643997192,1.4114662408828735,5.315655708312988
107832,,1.0998010635375977,8.658727645874023
107833,-2.4337997436523438,,
107898,,1.1117652654647827,14.405988693237305
107900,-5.446961879730225,,
107964,,,15.44955825805664
107965,-4.592723846435547,-0.008075776509940624,
108032,-4.718048095703125,0.39152559638023376,11.116456031799316
108101,,0.41066819429397583,7.734200954437256
108102,-2.511566400527954,,
108169,-1.563111424446106,0.5665007829666138,6.725327014923096
108236,-2.15653133392334,0.7175477147102356,7.380362510681152
108303,-2.577967405319214,0.9669994711875916,8.984749794006348
108369,-1.7784653902053833,1.5484553575515747,9.708279609680176
108442,-1.394716501235962,0.9065806865692139,15.410675048828125
108506,-0.6122635006904602,0.9547362327575684,14.293825149536133
108572,,0.4615156650543213,10.945966720581055
108573,-0.49710890650749207,,
108643,-1.0582258701324463,0.025722842663526535,9.483354568481445
108710,-0.8222336769104004,-0.46779683232307434,8.601000785827637
108777,,,6.508776664733887
108778,-0.9882357716560364,-0.07238288223743439,
108844,-1.4368900060653687,0.6161518096923828,6.717251300811768
108910,-1.5861423015594482,0.8422735929489136,7.623233795166016
108977,,,8.019246101379395
108978,-2.3533411026000977,1.4219348430633545,
109045,-5.361119270324707,0.23359930515289307,14.092827796936035
109112,-3.637688636779785,-1.4258232116699219,15.65683650970459
109179,,0.43998026847839355,8.8648099899292
109180,-4.093222141265869,,
109246,,0.8054839372634888,6.832107067108154
109247,-2.4221346378326416,,
109313,-1.6483557224273682,0.6011967062950134,7.358527660369873
109381,,,8.284550666809082
109382,-1.8924236297607422,0.631106972694397,
109448,-1.944766640663147,1.0342975854873657,9.464211463928223
109516,-2.050050735473633,1.6657036542892456,10.94447135925293
109584,-2.4278175830841064,1.731805443763733,13.563416481018066
109649,-1.3507484197616577,0.7806583642959595,14.03121280670166
109718,,0.8868398666381836,10.596614837646484
109719,-1.9540387392044067,,
109786,-2.4661028385162354,0.08165507018566132,10.169795036315918
109852,-1.3142578601837158,-0.22462622821331024,7.4464640617370605
109920,-0.753140926361084,0.5461617708206177,4.647160530090332
109988,-0.8141579031944275,0.9373882412910461,5.535196781158447
110055,,,7.382455825805664
110056,-1.6917256116867065,1.1183454990386963,
110123,,,12.265608787536621
110124,-2.630908489227295,0.760917603969574,
110189,-4.159922122955322,0.03409772366285324,15.684353828430176
110257,,,12.891033172607422
110258,-3.40079927444458,-0.661914587020874,
110323,-5.129314422607422,0.6906284093856812,7.981558799743652
110391,-3.0107691287994385,0.04007977992296219,7.713562965393066
110460,,,7.671090126037598
110461,-1.7937196493148804,0.13310076296329498,
110530,,,7.0908308029174805
110531,-2.3084757328033447,1.1889337301254272,
110594,-1.446162223815918,1.3923237323760986,8.82951545715332
110666,,1.6968103647232056,11.39970588684082
110667,-1.9184455871582031,,
110731,-2.3204398155212402,1.2744771242141724,14.075480461120605
110799,-1.3561322689056396,0.13579268753528595,13.757234573364258
110865,-2.0401804447174072,0.4247260093688965,10.558928489685059
110931,-1.7997016906738281,-0.5946164131164551,10.18445110321045
110999,-0.8524430394172668,-0.6625127792358398,6.203990936279297
111066,,,4.003790378570557
111067,-1.7524434328079224,0.7779664397239685,
