departamento,municipio,tiempo_establecimiento,topografia,drenaje,riego,fertilizacion,pH,materia_organica,fosforo,azufre,acidez,aluminio,calcio,magnesio,potasio,sodio,CICE,conductividad,hierro,cobre,manganeso,zinc,boro
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.359999999999999,3.888699110522011,3.87,11.98019801980198,2.539938318516367,2.0260650988169613,0.5928660000000001,0.253442,0.09,0.14,3.6162463185163674,0.3656528,393.32699999999994,2.1229999999999998,1.6420000000000001,1,0.13570822731128074
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.03,2.4223340128035193,3.87,13.712871287128714,2.5911467523574223,2.0060050483336247,0.59,0.2,0.09,0.14,3.6111467523574223,0.599734,237.556,1.059,4.143,4.665,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.4,3.7622883262359346,3.87,5.544554455445545,2.5092132582117337,2.0862452502669697,0.5906702000000001,0.2860274,0.09,0.14,3.615910858211734,0.31069919999999995,417.89,2.1590000000000003,2.344,1,0.15691263782866835
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.7,4.975831855382272,3.87,11.732673267326732,1.9459204859601196,1.384143483350201,0.59,0.2679244,0.10522116,0.14,3.0490660459601195,0.1986784,495.82500000000005,1.874,6.209,1,0.13570822731128074
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.48,4.015109894808088,3.87,9.752475247524751,2.427279764066044,1.8756147201919393,0.6279988,0.2679244,0.09,0.14,3.553202964066044,0.29167679999999996,344.54200000000003,1.898,2.276,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.470000000000001,4.090956365379734,3.87,11.237623762376236,1.6591532564502072,1.2537531552085155,0.59,0.2480111,0.09,0.14,2.7271643564502073,0.28375079999999997,404.17300000000006,1.557,4.483,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,5.24,0.627300875941228,3.87,12.227722772277229,1.4850445813906177,1.113332801825162,0.6170198000000001,0.2,0.09,0.14,2.532064381390618,0.0322324,27.612000000000002,1.641,3.406,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.6899999999999995,2.270641071660227,3.87,13.217821782178218,0.8295766282251036,0.48144121160007,0.59,0.2,0.09,0.14,1.8495766282251032,0.17490039999999998,369.908,1,1,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.48,2.118948130516935,3.87,4.306930693069307,1.7513284373641076,1.3540534076251969,0.59,0.2,0.09,0.14,2.7713284373641076,0.18546839999999998,155.82600000000002,1,1.4000000000000001,1,0.09329940627650551
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.33,1.714433620801489,3.87,6.534653465346535,2.6833219332713227,2.326965856067005,0.7070476000000001,0.2063742,0.11141063999999999,0.24879400000000002,3.956948373271323,0.295904,148.786,1.128,1.014,1,0.029686174724342658
Valle del cauca,Buenaventura,De 1 a 5 años,Plano,No indica,No cuenta con riego,No indica,4.38,4.11623852223695,3.87,9.752475247524751,2.529696631748155,2.036095124058629,0.59,0.23533900000000002,0.09,0.14,3.585035631748155,0.3413464,395.978,1.4749999999999999,1.6589999999999998,1,0.050890585241730284
