ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,23,45,112,15.96,10.91,1.89,56.76,32.66,6.24,24.1,8.21,9.54,1.33,61.96,2.56,2.05,1.2,0.63,1.27
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,26,50,112,15.8,10.32,1.79,57.03,29.88,6.01,27.15,7.03,9.69,2.66,62.71,2.58,2.08,1.23,0.66,1.29
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,La Calera,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,48,112,15.02,9.27,1.7,50.96,24.79,4.79,26.17,6.27,9.87,3.6,63.69,2.58,2.12,1.26,0.69,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,29,52,112,15.64,8.19,1.79,53.17,24.84,4.15,28.33,6.57,8.63,2.06,64.17,2.63,2.14,1.28,0.71,1.32
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,23,44,112,20.69,12.77,2.29,46.32,26.59,4.34,19.73,6.63,10.42,3.79,67.64,2.79,2.28,1.41,0.83,1.4
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,27,48,112,18.2,11.75,2.15,51.99,25.2,5.64,26.79,7.09,8.56,1.47,66.09,2.69,2.22,1.35,0.78,1.36
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,50,112,17.53,12.37,1.78,52.06,26.29,4.89,25.77,6.73,7.04,0.32,65.22,2.65,2.18,1.32,0.75,1.34
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,46,112,16.33,10.08,1.75,53.85,27.75,4.94,26.1,5.37,7.08,1.72,63.8,2.6,2.12,1.27,0.7,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,50,112,19.54,11.46,1.99,50.1,24,5.72,26.1,7.05,8.55,1.5,67.54,2.77,2.28,1.41,0.82,1.4
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Guasca,Ondulada,Franco arcilloso,Transición sequía a lluvia,27,48,112,14.63,9.76,1.64,57.38,28.18,5.2,29.2,6.66,8.57,1.91,62.31,2.55,2.06,1.21,0.65,1.28
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,43,112,15.47,8.1,1.94,58.73,30.63,4.74,28.1,6.6,6.77,0.16,62.21,2.59,2.06,1.21,0.64,1.27
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,48,112,17.61,11.23,2.06,52.47,30.74,5.76,21.73,8.98,11.66,2.68,63.88,2.66,2.13,1.27,0.7,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,22,41,112,18.25,10.85,2.13,50.09,29.17,5.4,20.92,7.88,12.31,4.43,64.89,2.69,2.17,1.31,0.73,1.34
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,48,112,15.62,9.93,2.12,51.39,29.61,5.8,21.78,8.68,13.74,5.06,62.65,2.59,2.08,1.22,0.66,1.28
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,43,112,17.26,10.92,2.01,51.28,30.79,5.36,20.49,8.54,11.87,3.33,63.59,2.64,2.11,1.26,0.69,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,29,50,112,13.56,9.64,1.95,53.97,31.03,5.76,22.94,9.24,14.53,5.29,60.56,2.48,1.99,1.14,0.58,1.24
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,43,112,17.92,11.13,1.84,55.97,31.84,6.29,24.13,8.4,10.78,2.38,63.78,2.66,2.12,1.27,0.7,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,22,41,112,19.69,9.62,2.14,54.85,27.48,6.34,27.37,6.32,7.74,1.42,66.56,2.77,2.24,1.37,0.79,1.37
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Cucunubá,Ondulada,Franco arcilloso,Transición sequía a lluvia,26,46,112,15.31,7.26,1.88,53.08,23.81,4.75,29.27,5.13,6.61,1.49,64.23,2.65,2.14,1.28,0.71,1.32
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,27,52,112,16.57,11.02,2.19,48.88,27.2,5.51,21.68,8.44,13.64,5.19,64.17,2.64,2.14,1.28,0.71,1.32
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,29,56,112,17.94,10.1,2.27,53.67,32,5.94,21.67,5.55,8.28,2.73,63.75,2.67,2.12,1.27,0.7,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,24,44,112,17.26,8.9,2.21,51.14,25.11,4.92,26.03,5.47,8.49,3.02,65.37,2.69,2.19,1.33,0.75,1.35
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,26,50,112,15.17,9.71,1.89,53.67,26.5,5.08,27.17,6.65,9.81,3.16,63.27,2.59,2.1,1.25,0.68,1.3
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,24,44,112,19.7,11.16,2.45,53.19,28.34,5.67,24.85,5.81,6.71,0.9,66.3,2.76,2.23,1.36,0.78,1.37
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,54,112,18.72,11.43,2.09,53.33,30.43,5.94,22.9,5.9,9.03,3.13,64.86,2.69,2.17,1.31,0.73,1.34
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,27,52,112,19.97,9.9,2.48,54.89,27.77,5.78,27.12,6.65,8.7,2.04,66.7,2.77,2.24,1.38,0.8,1.38
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,54,112,20.95,11.11,2.29,50.68,25.41,5.66,25.27,5.46,9.23,3.77,68.22,2.8,2.3,1.43,0.85,1.41
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Tabio,Ondulada,Franco arcilloso,Transición sequía a lluvia,25,47,112,15.59,10.69,2.25,48.53,27.48,4.68,21.05,8.2,13.1,4.89,63.3,2.64,2.1,1.25,0.68,1.3
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Sesquilé,Ondulada,Franco arcilloso,Transición sequía a lluvia,27,51,112,18.84,11.24,2.31,50.32,26.57,5.7,23.75,8.19,12.69,4.5,66.17,2.73,2.22,1.36,0.78,1.36
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Sesquilé,Ondulada,Franco arcilloso,Transición sequía a lluvia,28,53,112,20.28,11.69,2.41,49.04,27.96,5.32,21.08,7.36,12,4.65,66.88,2.8,2.25,1.38,0.8,1.38
