departamento,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha
Antioquia,Frontino,Lima,2014,50,20,100,5
Antioquia,Canasgordas,Lima,2014,48,5,25,5
Antioquia,Tamesis,Lima,2014,30,24,340,14
Antioquia,Titiribi,Lima,2014,12,2,40,20
Antioquia,Tarso,Lima,2014,8,8,211,27
Antioquia,Sopetran,Lima,2014,7,7,18,2.5
Antioquia,Heliconia,Lima,2014,4,2,20,10
Antioquia,Puerto triunfo,Lima,2014,4,4,4,1
Antioquia,Valparaiso,Lima,2014,4,3,60,20
Antioquia,Liborina,Lima,2014,3,3,11,4.52
Atlantico,Santo tomas,Lima,2014,18,18,252,14
Cauca,Padilla,Lima,2014,12,9,45,5
Risaralda,Pereira,Lima,2014,74,66,1650,25
Risaralda,Balboa,Lima,2014,2,2,50,25
Santander,Rionegro,Lima,2014,400,163,1630,10
Santander,Barrancabermeja,Lima,2014,41,39,705,18
Santander,Pinchote,Lima,2014,19,13,130,10
Santander,Concepcion,Lima,2014,8,8,112,14
Tolima,Guamo,Lima,2014,420,300,4500,15
Antioquia,Venecia,Lima,2015,277,233,5359,23
Antioquia,Uramita,Lima,2015,105,27,324,12
Antioquia,Fredonia,Lima,2015,70,70,1400,20
Antioquia,Dabeiba,Lima,2015,53,28,336,12
Antioquia,Frontino,Lima,2015,50,20,100,5
Antioquia,Canasgordas,Lima,2015,48,5,25,5
Antioquia,Tamesis,Lima,2015,30,24,340,14
Antioquia,Liborina,Lima,2015,26,3,18,7
Antioquia,Titiribi,Lima,2015,12,2,40,20
Antioquia,Tarso,Lima,2015,8,8,211,27
Antioquia,Medellin,Lima,2015,7,7,56,8
Antioquia,Sopetran,Lima,2015,7,7,17,2.4
Antioquia,Heliconia,Lima,2015,4,2,20,10
Antioquia,Puerto triunfo,Lima,2015,4,4,4,1
Antioquia,Valparaiso,Lima,2015,4,3,60,20
Atlantico,Santo tomas,Lima,2015,17,13,169,13
Cauca,Padilla,Lima,2015,11,11,55,5
Risaralda,Pereira,Lima,2015,77,66,1650,25
Risaralda,Balboa,Lima,2015,2,2,50,25
Santander,Giron,Lima,2015,2173,1700,37400,22
Santander,Rionegro,Lima,2015,262,158,2686,17
Santander,Barrancabermeja,Lima,2015,21,17,249,14.5
Santander,Pinchote,Lima,2015,19,13,130,10
Santander,Concepcion,Lima,2015,8,8,112,14
Antioquia,Venecia,Lima,2016,279,231,5313,23
Antioquia,Uramita,Lima,2016,119,49,588,12
Antioquia,Fredonia,Lima,2016,70,70,1400,20
Antioquia,Dabeiba,Lima,2016,63,53,636,12
Antioquia,Frontino,Lima,2016,57,30,180,6
Antioquia,Canasgordas,Lima,2016,55,5,25,5
Antioquia,Tamesis,Lima,2016,30,30,424,14
Antioquia,Liborina,Lima,2016,26,3,18,7
Antioquia,Titiribi,Lima,2016,12,12,230,20
Antioquia,Puerto triunfo,Lima,2016,8,2,2,1
Antioquia,Medellin,Lima,2016,7,7,56,8
Antioquia,Puerto nare,Lima,2016,7,7,7,1
Antioquia,Sopetran,Lima,2016,7,7,25,3.5
Antioquia,Carmen de viboral,Lima,2016,5,4,96,24
Antioquia,Tarso,Lima,2016,5,5,124,27
Antioquia,Heliconia,Lima,2016,4,4,40,10
Antioquia,Valparaiso,Lima,2016,4,3,60,20
Atlantico,Santo tomas,Lima,2016,53,17,238,14
Caldas,Norcasia,Lima,2016,12,12,48,4
Cauca,Padilla,Lima,2016,8,4,28,7
Risaralda,Pereira,Lima,2016,114,90,2248,25
Risaralda,Balboa,Lima,2016,7,2,50,25
Santander,Giron,Lima,2016,2321,2123,46706,22
Santander,Lebrija,Lima,2016,1450,640,12800,20
Santander,Rionegro,Lima,2016,262,158,2686,17
Santander,Socorro,Lima,2016,96,96,1584,16.5
Santander,Curiti,Lima,2016,40,15,165,11
Santander,Barrancabermeja,Lima,2016,33,12,216,18
Santander,Onzaga,Lima,2016,22,2,3,1.5
Santander,Pinchote,Lima,2016,20,13,130,10
Antioquia,Venecia,Lima,2017,279,277,6371,23
Antioquia,Uramita,Lima,2017,173,99,1386,14
Antioquia,Valparaiso,Lima,2017,78,56,1120,20
Antioquia,Fredonia,Lima,2017,70,70,1400,20
Antioquia,Dabeiba,Lima,2017,63,53,689,13
Antioquia,Frontino,Lima,2017,57,48,475,10
Antioquia,Tarso,Lima,2017,56,18,475,27
Antioquia,Canasgordas,Lima,2017,50,46,414,9
Antioquia,Tamesis,Lima,2017,35,30,424,14
Antioquia,Liborina,Lima,2017,26,26,179,7
Antioquia,San andres,Lima,2017,20,20,60,3
Antioquia,Titiribi,Lima,2017,12,12,230,20
Antioquia,Medellin,Lima,2017,7,7,56,8
Antioquia,Olaya,Lima,2017,7,3,14,4.6
Antioquia,Puerto nare,Lima,2017,7,7,7,1
Antioquia,Sopetran,Lima,2017,7,7,25,3.5
Antioquia,Carmen de viboral,Lima,2017,6,4,84,24
Antioquia,Heliconia,Lima,2017,4,4,40,10
Atlantico,Santo tomas,Lima,2017,53,17,238,14
Caldas,Norcasia,Lima,2017,22,12,48,4
Cauca,Padilla,Lima,2017,11,7,49,7
Norte de santander,El carmen,Lima,2017,13,10,40,4
Norte de santander,Abrego,Lima,2017,5,5,75,15
Risaralda,Pereira,Lima,2017,128,77,1933,25
Risaralda,Balboa,Lima,2017,7,2,50,25
Santander,Giron,Lima,2017,2359,2259,49246,21.8
Santander,Lebrija,Lima,2017,1493,1423,28460,20
Santander,Socorro,Lima,2017,102,78,1423,18.22
Santander,Aratoca,Lima,2017,89,12,136,11.33
