Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Jamundì,2014.0,156,0,0,0,"1,660",0,0,0,264,40,0,0,80,0,0,0,"1,200",720,50,0,0
La Cumbre,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,450",0,0,0,0
La Uniòn,2014.0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,300
La Victoria,2014.0,43,0,0,0,0,0,0,0,0,28,396,120,594,0,0,0,281,150,0,0,0
Obando,2014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmira,2014.0,95,0,0,0,0,0,0,0,0,96,"6,985",0,0,"1,656","2,131",0,0,0,0,0,0
Pradera,2014.0,90,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,0,0
Restrepo,2014.0,211,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0
Riofrìo,2014.0,759,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,224
Roldanillo,2014.0,12,0,0,0,0,0,0,0,0,300,12,0,0,0,0,0,0,0,0,0,0
San Pedro,2014.0,395,536,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,"1,280",558,0
Sevilla,2014.0,452,0,0,0,0,0,0,0,0,21,38,830,54,0,0,0,0,0,100,0,0
Toro,2014.0,650,0,0,0,0,0,0,0,28,172,"1,860",0,0,"4,690","2,086",105,480,"9,450",473,0,0
Trujillo,2014.0,105,0,0,0,0,0,0,0,255,0,0,168,84,0,0,0,420,0,0,0,0
Tuluà,2014.0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulloa,2014.0,92,0,0,0,0,0,0,0,0,"1,416",0,0,0,550,950,0,0,0,0,0,0
Versalles,2014.0,870,0,0,0,0,0,0,0,0,42,60,0,0,200,100,21,"5,400",0,0,0,0
Vijes,2014.0,90,0,0,0,424,0,0,0,72,0,0,488,0,0,0,0,"7,070",0,0,0,400
Yotoco,2014.0,"3,260","2,024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yumbo,2014.0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zarzal,2014.0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,700",0,0,0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2013.0,7,0,0,0,231,0,0,0,0,75,6,0,0,0,0,55,0,0,0,22,0
Alcalá,2013.0,390,966,0,0,"2,976",0,0,0,0,0,240,0,0,0,0,0,320,"3,600",0,0,0
Andalucia,2013.0,250,0,0,0,"12,215",0,0,0,0,0,0,0,700,0,0,0,336,0,0,0,0
Ansermanuevo,2013.0,160,225,0,0,36,0,0,136,100,4,28,50,12,0,0,19,0,0,42,0,0
Argelia,2013.0,"2,389","5,418",0,0,20,0,0,0,0,0,25,0,0,0,0,24,0,0,0,0,0
Bolivar,2013.0,200,"1,224",0,0,780,64,0,540,180,"2,400","1,250",0,"1,652","1,680","1,764",150,"1,485","2,800",122,259,363
Buenaventura,2013.0,0,"1,586","3,670","9,636",0,"48,524","3,996",0,0,181,0,0,0,0,0,0,0,0,0,0,0
Buga,2013.0,35,620,0,0,40,0,0,60,0,0,5,10,20,0,0,12,120,"4,000",0,18,5
Bugalagrande,2013.0,270,0,0,0,"16,520",0,0,63,495,108,0,0,112,0,0,0,0,0,120,0,0
Caicedonia,2013.0,"2,868","5,105",0,0,"53,610",0,0,0,500,0,0,0,0,0,0,0,0,"2,250",0,0,0
