Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Sevilla,2013,30,25,0,0,30,0,0,15,0,0,20,0,0,0,0,3,0,0,0,0,0
Toro,2013,9,1.5,0,0,20,0,0,0,9.5,12,0,0,45,25,25,0,35,0,0,0,11.8
Trujillo,2013,10,30.95,0,0,18.88,0,0,0,22,8,12,0,18,15,15,11,180,50,25,0,6
Tuluà,2013,8.5,9,0,0,12,0,0,8,9,0,3,0,0,0,0,4.5,8,0,0,0,14
Ulloa,2013,15,40,23,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Versalles,2013,2,5,0,0,0,0,0,14,0,0,28.2,0,20,0,0,8,0,0,8,0,0
Vijes,2013,11,10,0,0,11,0,0,0,0,0,0,1.5,0,0,0,0,90,67,0,0,0
Yotoco,2013,11.25,0,0,0,2.5,0,0,0,0,20,12,0,0,0,0,0,0,7.5,0.5,0,0
Yumbo,2013,11.38,4,0,0,13.08,0,0,9,6,8.95,5,5.33,16,20,40,3.5,68,38,4,5.5,10
Zarzal,2013,0,0,0,0,40,0,0,0,19,53,0,0,10,15,15,0,25,45,0,0,0
Cali,2012,7,12,0,0,14,0,0,0,0,15,1,8,0,,0,7,0,0,0,9,0
Alcalá,2012,6,7,4.2,0,8,0,0,0,0,0,11,0,0,,0,0,0,80,0,0,0
Andalucia,2012,9,0,0,0,28.5,0,0,0,0,0,0,0,35,,0,0,168,0,0,0,0
Ansermanuevo,2012,5,15,0,0,12,0,0,8,10,8,8,5,12,,0,3.5,0,0,6,0,0
Argelia,2012,10.5,30,10.5,0,4,0,0,0,0,0,2.8,0,0,,0,4,0,0,0,0,0
Bolivar,2012,5,17,0,0,20,8,0,15,9,10,5,0,14,42,42,5,27,80,4.5,7,15.75
Buenaventura,2012,0,13,13,12,0,14,12,0,0,10,0,0,0,,0,0,0,0,0,0,0
Buga,2012,8,10,0,0,14,0,0,9,5,10,3,3,19,,0,5,9,95,0,9,2
